SRA	SampleID	Plant	Date	Enriched	virus_group	display_name	family	genus	species	total_filtered_read_pair_count	max_reference_filtered_read_pair_count	matching_accession_count	matching_accessions	qualifying_accession_count	qualifying_accessions	detection_threshold	detected	detection_status
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	Pepper mild mottle virus	Pepper mild mottle virus (reference control)	Virgaviridae	Tobamovirus	Tobamovirus capsici	14187	14187	1	NC_003630.1	1	NC_003630.1	50	TRUE	Detected
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	Human norovirus	Human norovirus	Caliciviridae	Norovirus	Norovirus norwalkense	0	0	0		0		50	FALSE	Not detected
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	Seasonal human coronavirus	Seasonal human coronavirus	Coronaviridae	Alphacoronavirus / Betacoronavirus	multiple species	0	0	0		0		50	FALSE	Not detected
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	Human adenovirus	Human adenovirus	Adenoviridae	Mastadenovirus	multiple species	0	0	0		0		50	FALSE	Not detected
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	Influenza A virus	Influenza A virus	Orthomyxoviridae	Alphainfluenzavirus	Alphainfluenzavirus influenzae	56	56	1	NC_002018.1	1	NC_002018.1	50	TRUE	Detected
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	SARS-CoV-2	SARS-CoV-2	Coronaviridae	Betacoronavirus	Betacoronavirus pandemicum	848	848	1	NC_045512.2	1	NC_045512.2	50	TRUE	Detected
SRR14530767	HTP_8_11_2020_INF_unenriched	HTP	2020-08-11	unenriched	Pepper mild mottle virus	Pepper mild mottle virus (reference control)	Virgaviridae	Tobamovirus	Tobamovirus capsici	20170	20170	1	NC_003630.1	1	NC_003630.1	50	TRUE	Detected
SRR14530767	HTP_8_11_2020_INF_unenriched	HTP	2020-08-11	unenriched	Human norovirus	Human norovirus	Caliciviridae	Norovirus	Norovirus norwalkense	9	6	3	NC_039475.1; NC_039476.1; NC_039477.1	0		50	FALSE	Not detected
SRR14530767	HTP_8_11_2020_INF_unenriched	HTP	2020-08-11	unenriched	Seasonal human coronavirus	Seasonal human coronavirus	Coronaviridae	Alphacoronavirus / Betacoronavirus	multiple species	0	0	0		0		50	FALSE	Not detected
SRR14530767	HTP_8_11_2020_INF_unenriched	HTP	2020-08-11	unenriched	Human adenovirus	Human adenovirus	Adenoviridae	Mastadenovirus	multiple species	0	0	0		0		50	FALSE	Not detected
