genome	legend_name	family	genus	species	total_coverage
NC_028478.1	Tomato brown rugose fruit virus	Virgaviridae	Tobamovirus	Tobamovirus fructirugosum	372182.587048334
NC_003630.1	Pepper mild mottle virus	Virgaviridae	Tobamovirus	Tobamovirus capsici	62001.8688060406
NC_001801.1	Cucumber green mottle mosaic virus	Virgaviridae	Tobamovirus	Tobamovirus viridimaculae	53729.7943648817
NC_002692.1	Tomato mosaic virus	Virgaviridae	Tobamovirus	Tobamovirus tomatotessellati	46668.5130816231
NC_022230.1	Tomato mottle mosaic virus	Virgaviridae	Tobamovirus	Tobamovirus maculatessellati	15402.7419506096
NC_001556.1	Tobacco mild green mosaic virus	Virgaviridae	Tobamovirus	Tobamovirus mititessellati	10266.6190401259
NC_030229.1	Tropical soda apple mosaic virus	Virgaviridae	Tobamovirus	Tobamovirus tropici	7127.84362204724
NC_001504.1	Melon necrotic spot virus	Tombusviridae	Gammacarmovirus	Gammacarmovirus melonis	1291.94163150492
NC_074405.1	ssRNA phage SRR5466337_3	Steitzviridae	Kinglevirus	Kinglevirus lutadaptatum	1068.87283384302
NC_045512.2	Severe acute respiratory syndrome coronavirus 2	Coronaviridae	Betacoronavirus	Betacoronavirus pandemicum	407.20399291041
