SRA	SampleID	Plant	Date	Enriched	coverage	breadth	filtered_read_pair_count	SNV_count	SNS_count	detected	high_breadth
SRR14530735	HTP_9_15_2020	HTP	2020-09-15	enriched	30.2707420660134	0.821088185131927	6299	125	14	TRUE	TRUE
SRR14530746	HTP_9_08_2020	HTP	2020-09-08	enriched	8.99685650269204	0.240979165969969	1968	8	10	TRUE	FALSE
SRR14530757	HTP_9_01_2020	HTP	2020-09-01	enriched	11.0703273919005	0.238705146640805	2155	21	25	TRUE	FALSE
SRR14530762	HTP_9_15_2020_INF_unenriched	HTP	2020-09-15	unenriched	0.0148480085610139	0.0148480085610139	3	0	0	TRUE	FALSE
SRR14530764	HTP_9_01_2020_INF_unenriched	HTP	2020-09-01	unenriched	0.0031434973079624	0.0031434973079624	1	0	0	TRUE	FALSE
SRR14530765	HTP_8_25_2020_INF_unenriched	HTP	2020-08-25	unenriched	0.0043139484332675	0.0043139484332675	1	0	0	TRUE	FALSE
SRR14530767	HTP_8_11_2020_INF_unenriched	HTP	2020-08-11	unenriched	0.0023743437113333	0.0023743437113333	1	0	0	TRUE	FALSE
SRR14530768	HTP_8_25_2020	HTP	2020-08-25	enriched	10.2641875397117	0.272715112196101	2188	25	19	TRUE	FALSE
SRR14530772	HTP_10_02_2020_INF_unenriched	HTP	2020-10-02	unenriched	0.0022740193291642	0.0022740193291642	1	0	0	TRUE	FALSE
SRR14530779	HTP_8_18_2020	HTP	2020-08-18	enriched	4.67889509413771	0.24977427014012	987	2	10	TRUE	FALSE
SRR14530790	HTP_8_11_2020	HTP	2020-08-11	enriched	3.80807945691068	0.291877069190382	848	5	14	TRUE	FALSE
SRR14530792	PL_9_10_2020	PL	2020-09-10	enriched	0.0092632846202722	0.0046818045012206	4	0	0	TRUE	FALSE
SRR14530801	HTP_10_27_2020	HTP	2020-10-27	enriched	3.20533056883925	0.196334815904759	740	7	5	TRUE	FALSE
SRR14530812	HTP_10_20_2020	HTP	2020-10-20	enriched	0.596662542219844	0.0803932715781025	131	1	6	TRUE	FALSE
SRR14530819	HTP_10_13_2020	HTP	2020-10-13	enriched	1.13259539176671	0.152058321907501	237	7	9	TRUE	FALSE
SRR14530820	HTP_10_02_2020	HTP	2020-10-02	enriched	3.61248035314182	0.387486205397452	771	13	18	TRUE	FALSE
SRR14530824	PL_12_28_2020	PL	2020-12-28	enriched	1.32351269103434	0.0729692672975955	317	0	3	TRUE	FALSE
SRR14530825	PL_12_22_2020	PL	2020-12-22	enriched	3.04287195264689	0.213523726716383	741	11	2	TRUE	FALSE
SRR14530826	PL_12_14_2020	PL	2020-12-14	enriched	1.88412533859479	0.124034377821623	440	4	3	TRUE	FALSE
SRR14530827	PL_11_5_2020	PL	2020-11-05	enriched	0.0022740193291642	0.0022740193291642	1	0	0	TRUE	FALSE
SRR14530829	PL_11_30_2020	PL	2020-11-30	enriched	0.307527672808748	0.0286927733003377	70	0	1	TRUE	FALSE
SRR14530830	PL_11_29_2020	PL	2020-11-29	enriched	2.10326723071264	0.0728355014547035	619	8	9	TRUE	FALSE
SRR14530831	PL_01_04_2021	PL	2021-01-04	enriched	2.63809651205565	0.176905327224693	639	17	13	TRUE	FALSE
SRR14530832	PL_01_03_2021	PL	2021-01-03	enriched	1.5077751396181	0.118081797812928	322	1	7	TRUE	FALSE
SRR14530842	HTP_9_29_2020	HTP	2020-09-29	enriched	0.244022338895763	0.125840216700665	59	0	0	TRUE	FALSE
SRR14530843	HTP_9_22_2020	HTP	2020-09-22	enriched	0.668260709627796	0.32869611744641	141	1	0	TRUE	FALSE
SRR14530844	HTP_12_29_2020	HTP	2020-12-29	enriched	177.578737919272	0.99799351235662	40425	431	6	TRUE	TRUE
SRR14530845	HTP_12_22_2020	HTP	2020-12-22	enriched	77.2188409189713	0.974183192321841	17172	373	9	TRUE	TRUE
SRR14530846	HTP_12_04_2020	HTP	2020-12-04	enriched	8.29502056649834	0.515165702437883	1903	47	19	TRUE	TRUE
SRR14530847	HTP_11_3_2020	HTP	2020-11-03	enriched	8.77607597899876	0.691602849212454	1951	72	23	TRUE	TRUE
SRR14530848	HTP_11_24_2020	HTP	2020-11-24	enriched	16.5897736013109	0.75089455907434	3866	119	14	TRUE	TRUE
SRR14530849	HTP_01_03_2021	HTP	2021-01-03	enriched	26.7191251713875	0.930675851921212	6107	218	10	TRUE	TRUE
SRR14530857	PL_12_28_2020_INF_unenriched	PL	2020-12-28	unenriched	0.0021736949469952	0.0021736949469952	1	0	0	TRUE	FALSE
SRR14530858	PL_12_22_2020_INF_unenriched	PL	2020-12-22	unenriched	0.0027421997792863	0.0027421997792863	1	0	0	TRUE	FALSE
SRR14530864	PL_01_04_2021_INF_unenriched	PL	2021-01-04	unenriched	0.0036116777580844	0.0036116777580844	1	0	0	TRUE	FALSE
SRR14530865	PL_01_03_2021_INF_unenriched	PL	2021-01-03	unenriched	0.0033107046115774	0.0033107046115774	1	0	0	TRUE	FALSE
SRR14530881	HTP_9_22_2020_INF_unenriched	HTP	2020-09-22	unenriched	0.0056850483229107	0.0056850483229107	1	0	0	TRUE	FALSE
SRR14530882	HTP_12_29_2020_INF_unenriched	HTP	2020-12-29	unenriched	0.300939705046316	0.243855131592148	75	0	0	TRUE	FALSE
SRR14530884	HTP_12_22_2020_INF_unenriched	HTP	2020-12-22	unenriched	0.136775574357088	0.129017155469351	33	0	0	TRUE	FALSE
SRR14530885	HTP_12_15_2020_INF_unenriched	HTP	2020-12-15	unenriched	0.384409591010935	0.301274119653546	83	0	0	TRUE	FALSE
SRR14530886	HTP_12_04_2020_INF_unenriched	HTP	2020-12-04	unenriched	0.0171889108116242	0.0120723673210045	5	0	0	TRUE	FALSE
SRR14530887	HTP_12_01_2020_INF_unenriched	HTP	2020-12-01	unenriched	0.0749423134802528	0.0734708892084406	20	0	0	TRUE	FALSE
SRR14530888	HTP_11_3_2020_INF_unenriched	HTP	2020-11-03	unenriched	0.0215363007056148	0.0215363007056148	6	0	0	TRUE	FALSE
SRR14530889	HTP_11_24_2020_INF_unenriched	HTP	2020-11-24	unenriched	0.0324047754405912	0.0324047754405912	9	0	0	TRUE	FALSE
SRR14530890	HTP_11_17_2020_INF_unenriched	HTP	2020-11-17	unenriched	0.0359495702772296	0.0359495702772296	8	0	0	TRUE	FALSE
SRR14530891	HTP_01_03_2021_INF_unenriched	HTP	2021-01-03	unenriched	0.105942547570478	0.0979500384576798	26	0	0	TRUE	FALSE
