SRR	reads_raw	reads_trim	read_retention	q30_raw	q30_trim	dup_raw	dup_trim
SRR14530729	7685118	7683404	0.999777	0.759767	0.834467	0.00710724	0.244236
SRR14530730	8838248	8838148	0.999989	0.854889	0.88346	0.0175236	0.0907794
SRR14530731	6805608	6805266	0.99995	0.814134	0.864803	0.015534	0.251846
SRR14530732	7572636	7571968	0.999912	0.78435	0.87302	0.0100512	0.249312
SRR14530733	7715324	7713782	0.9998	0.801604	0.865664	0.0110176	0.275034
SRR14530735	5614720	5614614	0.999981	0.915863	0.958129	0.121165	0.278335
SRR14530746	6467648	6467588	0.999991	0.914704	0.951271	0.1631	0.342145
SRR14530757	8572834	8572728	0.999988	0.888121	0.957779	0.14235	0.404258
SRR14530762	7159400	7159240	0.999978	0.861516	0.886127	0.0207367	0.0669848
SRR14530763	7102004	7101832	0.999976	0.854923	0.876509	0.0139501	0.0404265
SRR14530764	7209358	7209216	0.99998	0.835691	0.882235	0.0163795	0.0722126
SRR14530765	6972516	6972392	0.999982	0.878487	0.893246	0.017219	0.0423903
SRR14530766	5600078	5599682	0.999929	0.850306	0.885731	0.0121845	0.0731095
SRR14530767	6636696	6636386	0.999953	0.841626	0.879216	0.0208797	0.112508
SRR14530768	8132222	8132130	0.999989	0.927364	0.956938	0.19133	0.352287
SRR14530769	8430942	8424998	0.999295	0.842398	0.877951	0.0203379	0.107788
SRR14530770	8701488	8701096	0.999955	0.848674	0.881784	0.0131143	0.067295
SRR14530771	4358340	4358192	0.999966	0.872439	0.894443	0.0216266	0.0808574
SRR14530772	9190418	9190180	0.999974	0.855545	0.882208	0.0128173	0.060384
SRR14530779	7621090	7620496	0.999922	0.894653	0.953047	0.0708694	0.264341
SRR14530790	3803536	3801934	0.999579	0.906493	0.958763	0.0809037	0.259741
SRR14530791	12455306	12454364	0.999924	0.851116	0.955282	0.062021	0.49041
SRR14530792	6544348	6544280	0.99999	0.907482	0.96246	0.0756525	0.287427
SRR14530793	3665678	3664880	0.999782	0.883715	0.963009	0.0761731	0.474738
SRR14530794	7164608	7164136	0.999934	0.845861	0.962061	0.0702551	0.514842
SRR14530795	4001506	4001202	0.999924	0.870394	0.961968	0.0572549	0.476635
SRR14530801	6955292	6953888	0.999798	0.910957	0.957608	0.119561	0.321814
SRR14530812	6188458	6188232	0.999963	0.913078	0.960857	0.0468026	0.159631
SRR14530819	6715070	6714930	0.999979	0.915266	0.958746	0.0863205	0.233957
SRR14530820	6882416	6882274	0.999979	0.912611	0.95925	0.049523	0.162763
SRR14530824	2417994	2417286	0.999707	0.948791	0.959574	0.21213	0.255898
SRR14530825	2526370	2526152	0.999914	0.955802	0.962223	0.255908	0.290282
SRR14530826	2810368	2810184	0.999935	0.94087	0.948616	0.244635	0.292315
SRR14530827	1546522	1546480	0.999973	0.950097	0.964868	0.175228	0.235634
SRR14530829	2135668	2135554	0.999947	0.952798	0.955868	0.273617	0.293952
SRR14530830	2692946	2692810	0.999949	0.897265	0.906509	0.154199	0.203981
SRR14530831	3507244	3506986	0.999926	0.949037	0.963742	0.242945	0.325791
SRR14530832	2692084	2691854	0.999915	0.952831	0.961731	0.246518	0.280309
SRR14530842	3207422	3207312	0.999966	0.956706	0.962696	0.234584	0.262397
SRR14530843	2589286	2589234	0.99998	0.952428	0.961332	0.151193	0.181029
SRR14530844	2285870	2285776	0.999959	0.884765	0.891712	0.142601	0.168861
SRR14530845	2596840	2596554	0.99989	0.950172	0.957548	0.331561	0.357176
SRR14530846	2529648	2529476	0.999932	0.956684	0.961349	0.218541	0.241086
SRR14530847	2146302	2146254	0.999978	0.956347	0.960556	0.178651	0.193748
SRR14530848	2958648	2958482	0.999944	0.95687	0.960773	0.201971	0.220594
SRR14530849	1980758	1980666	0.999954	0.940005	0.947654	0.199329	0.227351
SRR14530857	17666936	17659828	0.999598	0.951333	0.961331	0.365028	0.421911
SRR14530858	18669186	18666762	0.99987	0.957092	0.963101	0.445965	0.491434
SRR14530859	20610264	20607926	0.999887	0.946951	0.954879	0.450802	0.509695
SRR14530860	16306166	16304824	0.999918	0.951772	0.968009	0.432656	0.529224
SRR14530862	21550748	21548300	0.999886	0.955573	0.958503	0.483571	0.514436
SRR14530863	20225108	20223214	0.999906	0.911798	0.922787	0.330131	0.421215
SRR14530864	20365910	20363210	0.999867	0.949905	0.964936	0.407153	0.516571
SRR14530865	20281772	20279210	0.999874	0.956167	0.964793	0.464484	0.511203
SRR14530880	27253376	27252340	0.999962	0.958189	0.962565	0.471321	0.502931
SRR14530881	25808300	25807588	0.999972	0.954293	0.961592	0.382336	0.429659
SRR14530882	23008132	23006890	0.999946	0.900697	0.908846	0.263262	0.330773
SRR14530884	17723052	17717702	0.999698	0.953025	0.963915	0.339176	0.395833
SRR14530885	23920466	23919014	0.999939	0.955942	0.9619	0.385723	0.421739
SRR14530886	21749208	21746370	0.99987	0.958969	0.963988	0.407223	0.442225
SRR14530887	23825658	23823288	0.999901	0.956882	0.960216	0.409696	0.43153
SRR14530888	23069046	23067660	0.99994	0.95841	0.962248	0.379375	0.403342
SRR14530889	22091754	22089072	0.999879	0.959089	0.962872	0.378842	0.409556
SRR14530890	32789314	32787670	0.99995	0.958085	0.961572	0.457031	0.481348
SRR14530891	19252914	19251288	0.999916	0.944777	0.953733	0.369196	0.426657
