SRA	human_aligned_rate
SRR14530729	7.83%
SRR14530730	0.15%
SRR14530731	1.14%
SRR14530732	2.82%
SRR14530733	1.65%
SRR14530735	0.95%
SRR14530746	0.83%
SRR14530757	0.80%
SRR14530762	0.88%
SRR14530763	0.84%
SRR14530764	0.89%
SRR14530765	1.34%
SRR14530766	1.56%
SRR14530767	3.19%
SRR14530768	1.14%
SRR14530769	3.34%
SRR14530770	0.63%
SRR14530771	0.37%
SRR14530772	0.81%
SRR14530779	1.74%
SRR14530790	2.83%
SRR14530791	17.91%
SRR14530792	0.17%
SRR14530793	0.91%
SRR14530794	3.54%
SRR14530795	1.11%
SRR14530801	3.01%
SRR14530812	0.66%
SRR14530819	0.39%
SRR14530820	0.81%
SRR14530824	19.47%
SRR14530825	1.00%
SRR14530826	3.30%
SRR14530827	1.43%
SRR14530829	3.37%
SRR14530830	4.18%
SRR14530831	0.57%
SRR14530832	0.37%
SRR14530842	0.39%
SRR14530843	0.82%
SRR14530844	1.34%
SRR14530845	2.28%
SRR14530846	3.68%
SRR14530847	0.97%
SRR14530848	1.17%
SRR14530849	0.73%
SRR14530857	26.79%
SRR14530858	1.24%
SRR14530859	4.11%
SRR14530860	1.89%
SRR14530862	6.94%
SRR14530863	6.57%
SRR14530864	0.75%
SRR14530865	0.48%
SRR14530880	0.54%
SRR14530881	1.25%
SRR14530882	1.49%
SRR14530884	2.81%
SRR14530885	3.25%
SRR14530886	5.66%
SRR14530887	1.61%
SRR14530888	1.06%
SRR14530889	1.32%
SRR14530890	10.37%
SRR14530891	0.94%
